shipment_id,company_id,commodity,weight_kg,declared_value_usd,physical_value_usd,igm_quantity,bol_quantity,invoice_quantity,igm_value,bol_value,invoice_value,actual_origin_country,declared_origin_country,route,route_risk_score,account_age_days,company_trust_score,kyc_verified,submission_hour,burst_count,linked_company_id,shared_director_flag,pickup_attempts,driver_verified,risk_score,is_anomalous,fraud_type,temperature_celsius,volume_cbm
SHP0000622,COMP00007,chemicals,6512,985350.56,955255.53,6629.9,6429.22,6281.19,976099.1,947185.32,992926.26,Rotterdam,Rotterdam,Rotterdam → India,20,164,23,0,23,9,,0,1,0,37,1,behavioral_anomaly,,
SHP0000847,COMP00079,machinery,10001,641734.21,650159.52,9643.03,10205.82,10406.12,637537.76,640970.05,669163.4,Hong Kong,Hong Kong,Hong Kong → India,36,81,24,0,23,11,,0,3,1,35,1,behavioral_anomaly,,
SHP0000042,COMP00021,chemicals,5858,1032471.2,1080299.05,5748.17,5885.1,5953.96,1047229.76,1042063.28,1043212.79,Mumbai,Mumbai,Mumbai → Singapore,20,172,51,1,13,3,,0,1,1,5,0,normal,,
SHP0000564,COMP00043,machinery,3377,479089.23,460519.06,3319.68,3382.2,3396.27,485793.46,477101.15,472716.78,Chennai,Chennai,Chennai → Dubai,25,201,77,1,12,2,,0,1,1,28,0,normal,,
SHP0000091,COMP00119,machinery,6387,360752.43,360328.23,6297.59,6364.6,6447.64,360406.37,359856.96,359229.71,Hong Kong,Hong Kong,Hong Kong → India,30,3571,81,0,13,1,,0,1,1,14,0,normal,,
SHP0000745,COMP00106,electronics,4315,1230690.64,1146534.12,3721.57,4005.42,4682.17,1160606.41,1255245.09,1372121.9,Bangkok,Bangkok,Bangkok → India,41,333,42,0,19,6,,0,1,0,63,1,document_inconsistency,,
SHP0000903,COMP00004,textiles,14430,1601021.42,762638.61,8990.24,17462.73,17695.44,1118815.42,2219850.13,2085260.47,Hong Kong,UAE,Hong Kong → India,69,117,40,0,4,46,,0,4,0,82,1,overvaluation,,
SHP0000354,COMP00091,textiles,9381,216519.96,218205.09,9308.91,9376.72,9490.97,220687.9,218392.81,220277.59,Singapore,Singapore,Singapore → India,25,146,51,1,13,2,,0,1,1,20,0,normal,,
SHP0000100,COMP00023,gold,89,5228550.76,4989696.83,87.81,88.34,89.8,5295013.03,5198592.35,5229774.8,Shanghai,Shanghai,Shanghai → India,20,2768,92,1,16,1,,0,1,1,26,0,normal,,
SHP0000005,COMP00142,chemicals,1992,80442.63,84342.82,2019.0,1977.05,2025.53,81632.85,80472.94,80736.33,Singapore,Singapore,Singapore → India,25,1848,73,1,13,1,,0,1,1,25,0,normal,,
SHP0000045,COMP00142,textiles,3724,18826.43,19011.55,3739.98,3705.2,3732.7,18619.75,18698.72,18940.53,Bangkok,Bangkok,Bangkok → India,28,1848,73,1,12,2,,0,1,1,28,0,normal,,
SHP0000510,COMP00078,machinery,1514,348452.17,359867.82,1542.33,1525.8,1520.09,348871.04,345161.67,344921.05,Chennai,Chennai,Chennai → Dubai,25,255,53,1,13,2,,0,1,1,7,0,normal,,
SHP0000714,COMP00132,textiles,16383,415021.39,510498.27,16640.74,16259.6,15814.45,427737.76,415446.67,434835.55,Shanghai,Shanghai,Shanghai → India,33,91,28,0,13,4,,0,2,0,62,1,undervaluation,,
SHP0000359,COMP00029,machinery,4725,1329248.81,1350622.94,4771.56,4707.19,4790.33,1316466.93,1316000.02,1322677.8,Bangkok,Bangkok,Bangkok → India,28,309,71,1,14,1,,0,1,1,9,0,normal,,
SHP0000134,COMP00025,electronics,2624,1120890.1,1096823.51,2616.57,2611.81,2654.35,1124178.76,1124450.61,1109784.65,Rotterdam,Rotterdam,Rotterdam → India,15,404,54,0,11,1,,0,1,1,25,0,normal,,
SHP0000442,COMP00071,chemicals,9863,1476792.12,1478863.08,9904.72,9889.01,9873.67,1481667.53,1482220.46,1491744.28,Shanghai,Shanghai,Shanghai → India,20,3276,82,0,15,1,,0,1,1,26,0,normal,,
SHP0000028,COMP00114,machinery,4861,266182.63,261827.1,4865.38,4883.58,4764.43,265834.58,265101.94,269939.23,Hong Kong,Hong Kong,Hong Kong → India,30,290,55,0,15,1,,0,1,1,29,0,normal,,
SHP0000390,COMP00040,machinery,2783,344231.02,359131.67,2830.05,2783.13,2763.84,347496.15,341041.46,343883.61,Rotterdam,Rotterdam,Rotterdam → India,15,332,57,1,12,3,,0,1,1,10,0,normal,,
SHP0000209,COMP00075,gold,54,2911461.28,2899239.61,53.12,54.06,54.31,2935194.62,2904081.3,2918875.02,Bangkok,Bangkok,Bangkok → India,28,2417,91,1,13,2,,0,1,1,13,0,normal,,
SHP0000701,COMP00042,chemicals,4631,552337.93,434831.64,4529.45,4862.23,4523.57,542882.0,561138.23,540957.64,Chennai,Chennai,Chennai → Dubai,39,374,51,1,8,5,,0,3,1,37,1,overvaluation,,
SHP0000072,COMP00146,machinery,11630,357014.07,361940.34,11637.06,11651.76,11766.65,359107.68,354691.86,355025.82,Mumbai,Mumbai,Mumbai → Singapore,20,2866,67,1,17,1,,0,1,1,9,0,normal,,
SHP0000385,COMP00094,machinery,2297,197285.36,204218.08,2258.8,2290.39,2313.57,195502.85,198578.27,199178.26,Istanbul,Istanbul,Istanbul → India,40,3433,70,1,16,1,,0,1,1,19,0,normal,,
SHP0000073,COMP00035,electronics,4245,1610472.9,1667028.56,4274.11,4271.28,4290.28,1587907.21,1608023.2,1588118.49,Singapore,Singapore,Singapore → India,25,2699,89,1,11,2,,0,1,1,5,0,normal,,
SHP0000127,COMP00143,textiles,7480,308765.53,319378.95,7406.39,7409.85,7551.6,303903.63,307622.6,302637.36,Rotterdam,Rotterdam,Rotterdam → India,15,3290,81,0,15,2,,0,1,1,13,0,normal,,
SHP0000638,COMP00099,textiles,15757,275864.01,218173.6,15649.08,15331.43,15782.13,269063.79,288016.85,287062.54,Hong Kong,Hong Kong,Hong Kong → India,36,39,52,1,7,4,,0,2,0,41,1,overvaluation,,
SHP0000596,COMP00068,gold,17,886616.61,877987.28,16.8,17.11,17.17,892347.38,881941.24,872354.74,Chennai,Chennai,Chennai → Dubai,25,2512,87,1,14,1,,0,1,1,17,0,normal,,
SHP0000108,COMP00059,electronics,4356,1043530.43,1057740.95,4405.77,4322.75,4340.3,1057714.19,1041105.95,1046530.47,Dubai,Dubai,Dubai → India,35,448,69,0,14,1,,0,1,1,24,0,normal,,
SHP0000730,COMP00001,chemicals,3512,534866.84,493198.96,3639.17,3631.12,3565.73,534988.51,546713.56,508440.58,Antwerp,Antwerp,Antwerp → India,28,132,27,0,0,14,,0,1,1,46,1,behavioral_anomaly,,
SHP0000936,COMP00058,gold,34,2012646.99,2119775.04,25.11,45.1,32.32,1589021.78,2731750.22,2573077.06,Mumbai,UAE,Mumbai → Singapore,49,132,49,0,23,23,COMP00036,1,7,1,89,1,origin_fraud,,
SHP0000637,COMP00014,chemicals,8461,1944197.62,1380310.94,8265.86,8715.39,8421.97,1977354.06,1908881.66,1921106.38,Bangkok,Malaysia,Bangkok → India,34,700,47,0,18,5,,0,2,0,69,1,origin_fraud,,
SHP0000818,COMP00105,chemicals,6357,1600396.43,1130461.16,6177.19,6276.67,6250.78,1548568.22,1617563.35,1596655.37,Chennai,Chennai,Chennai → Dubai,38,142,50,0,12,3,,0,2,0,53,1,overvaluation,,
SHP0000061,COMP00093,machinery,13004,2634121.23,2731035.37,12980.46,13008.06,12998.2,2651702.86,2615137.18,2584596.97,Singapore,Singapore,Singapore → India,25,2824,73,1,12,2,,0,1,1,14,0,normal,,
SHP0000025,COMP00073,chemicals,7893,1005004.47,977870.24,7773.21,7826.22,7954.97,998567.41,1009522.3,987531.72,Singapore,Singapore,Singapore → India,25,2379,88,0,12,1,,0,1,1,8,0,normal,,
SHP0000988,COMP00063,chemicals,7403,434236.11,181703.71,4495.44,8722.34,7097.61,335116.95,571330.08,562237.07,Dubai,Dubai,Dubai → India,73,426,76,0,4,15,,0,6,0,91,1,overvaluation,,
SHP0000702,COMP00108,gold,73,3550165.31,3261969.43,70.36,75.01,75.17,3563627.37,3482599.26,3424146.06,Mumbai,Hong Kong,Mumbai → Singapore,30,580,62,1,10,6,COMP00057,0,3,1,65,1,origin_fraud,,
SHP0000807,COMP00052,electronics,3171,1490288.78,1581499.37,2915.09,2856.29,3465.21,1296176.62,1544862.69,1603830.3,Singapore,Singapore,Singapore → India,39,55,26,0,8,3,,0,1,1,53,1,document_inconsistency,,
SHP0000951,COMP00091,machinery,5354,188791.39,299618.81,4358.75,7086.55,6215.2,152731.5,235816.34,240844.15,Shanghai,Thailand,Shanghai → India,47,146,51,1,23,38,,0,4,0,84,1,undervaluation,,
SHP0000735,COMP00010,textiles,9792,332631.08,321509.12,10041.57,9937.6,9926.59,334408.25,316378.38,339167.52,Rotterdam,Rotterdam,Rotterdam → India,22,214,79,1,3,9,,0,3,0,51,1,behavioral_anomaly,,
SHP0000522,COMP00033,textiles,18647,562817.9,550399.05,18534.28,18804.82,18428.19,571240.11,557532.56,553607.42,Mumbai,Mumbai,Mumbai → Singapore,20,2716,79,1,16,2,,0,1,1,17,0,normal,,
SHP0000712,COMP00135,gold,92,4323724.43,4433984.73,94.62,93.36,94.28,4499256.25,4480911.93,4398982.51,Hong Kong,Hong Kong,Hong Kong → India,42,2751,61,1,4,9,,0,1,0,68,1,behavioral_anomaly,,
SHP0000969,COMP00130,electronics,356,54750.14,23714.32,283.85,420.99,266.56,33135.4,79469.72,62457.36,Istanbul,Istanbul,Istanbul → India,79,88,40,0,2,39,COMP00036,0,6,0,96,1,overvaluation,,
SHP0000563,COMP00114,textiles,7726,274107.13,279661.35,7866.92,7730.84,7695.01,279081.67,274886.2,271893.99,Dubai,Dubai,Dubai → India,35,290,55,0,10,2,,0,1,1,5,0,normal,,
SHP0000342,COMP00049,machinery,11580,2136199.66,2068008.99,11472.91,11510.21,11462.74,2119658.25,2138555.2,2143718.37,Chennai,Chennai,Chennai → Dubai,25,307,70,1,13,1,,0,1,1,20,0,normal,,
SHP0000340,COMP00142,electronics,2697,245666.93,241212.73,2654.35,2676.97,2704.97,241352.06,243362.23,247773.91,Shanghai,Shanghai,Shanghai → India,20,1848,73,1,12,1,,0,1,1,7,0,normal,,
SHP0000594,COMP00095,textiles,2475,82587.76,80877.58,2462.48,2483.41,2432.63,81783.95,82941.07,82521.75,Rotterdam,Rotterdam,Rotterdam → India,15,537,67,1,13,1,,0,1,1,18,0,normal,,
SHP0000315,COMP00078,electronics,3734,1718023.24,1635718.61,3706.48,3700.91,3773.81,1731912.25,1712228.42,1730094.96,Chennai,Chennai,Chennai → Dubai,25,255,53,1,13,1,,0,1,1,11,0,normal,,
SHP0000460,COMP00104,electronics,1745,466631.48,446248.23,1752.76,1761.88,1735.28,471350.94,466631.8,459684.49,Chennai,Chennai,Chennai → Dubai,25,636,52,1,14,3,,0,1,1,17,0,normal,,
SHP0000682,COMP00086,gold,48,2452309.55,2295262.57,47.85,50.25,49.21,2528616.25,2337743.9,2444427.7,Bangkok,Bangkok,Bangkok → India,37,311,70,1,5,10,,0,2,1,43,1,behavioral_anomaly,,
SHP0000177,COMP00039,textiles,8724,333747.05,324511.05,8773.5,8736.33,8747.76,335923.18,334070.0,338810.06,Hong Kong,Hong Kong,Hong Kong → India,30,2175,94,1,15,3,,0,1,1,12,0,normal,,
SHP0000891,COMP00072,chemicals,1501,286566.02,277368.91,1292.08,1464.94,1588.93,271364.45,259572.29,333283.61,Chennai,Chennai,Chennai → Dubai,37,597,43,0,8,4,,0,3,0,52,1,document_inconsistency,,
SHP0000043,COMP00030,machinery,13357,3625180.43,3527284.1,13203.72,13231.75,13438.03,3606115.8,3651597.72,3621295.67,Dubai,Dubai,Dubai → India,35,618,56,1,17,2,,0,1,1,29,0,normal,,
SHP0000527,COMP00059,gold,86,4485524.06,4442177.89,86.61,85.47,87.1,4416750.05,4499519.02,4457022.92,Mumbai,Mumbai,Mumbai → Singapore,20,448,69,0,16,3,,0,1,1,24,0,normal,,
SHP0000169,COMP00051,chemicals,2424,213109.5,222407.92,2440.98,2405.38,2379.62,213660.42,214942.97,216044.01,Shanghai,Shanghai,Shanghai → India,20,283,68,1,15,3,,0,1,1,27,0,normal,,
SHP0000939,COMP00100,gold,13,735513.25,765939.25,9.06,16.76,13.6,471746.3,1001101.9,691677.7,Dubai,Thailand,Dubai → India,64,175,40,0,5,34,COMP00009,0,7,0,95,1,origin_fraud,,
SHP0000677,COMP00127,electronics,2796,1082259.2,856109.4,2663.23,2858.33,2882.78,1114385.87,1041952.42,1125906.84,Hong Kong,Hong Kong,Hong Kong → India,44,2802,62,1,19,6,,0,2,0,55,1,overvaluation,,
SHP0000658,COMP00051,gold,57,4465719.49,3578111.57,56.42,56.07,55.49,4457077.44,4488864.75,4524566.44,Dubai,Dubai,Dubai → India,43,283,68,1,10,4,COMP00108,1,2,1,55,1,overvaluation,,
SHP0000915,COMP00079,electronics,1586,140659.45,159976.63,1236.29,2198.05,1770.1,117464.75,199990.31,157560.11,Mumbai,Mumbai,Mumbai → Singapore,55,81,24,0,4,23,COMP00023,1,5,1,78,1,network_fraud,,
SHP0000695,COMP00115,electronics,1218,299112.22,199830.71,1246.42,1157.15,1229.72,311553.58,292769.07,289705.92,Dubai,Dubai,Dubai → India,41,147,44,0,17,6,,0,2,1,41,1,overvaluation,,
SHP0000585,COMP00090,gold,8,362414.27,370906.0,8.04,8.06,7.87,368431.55,360916.4,362279.37,Bangkok,Bangkok,Bangkok → India,28,369,64,1,13,3,,0,1,1,24,0,normal,,
SHP0000920,COMP00132,gold,49,2604441.96,2953091.85,36.24,56.73,47.87,1863973.03,3691847.0,3046340.83,Istanbul,Malaysia,Istanbul → India,65,91,28,0,2,19,,1,3,0,97,1,behavioral_anomaly,,
SHP0000748,COMP00090,chemicals,8821,602829.66,636179.02,8867.07,8963.0,8664.78,601700.8,609904.12,597097.4,Chennai,Chennai,Chennai → Dubai,39,369,64,1,1,12,,0,2,1,44,1,behavioral_anomaly,,
SHP0000170,COMP00077,gold,85,4612178.29,4688918.21,86.58,85.44,86.53,4649544.41,4593549.91,4539373.2,Istanbul,Istanbul,Istanbul → India,40,1126,71,1,16,1,,0,1,1,14,0,normal,,
SHP0000077,COMP00013,machinery,4213,888069.67,849876.6,4236.62,4193.72,4228.64,894468.46,883288.82,886537.17,Antwerp,Antwerp,Antwerp → India,18,232,68,1,11,2,,0,1,1,27,0,normal,,
SHP0000473,COMP00077,electronics,455,39267.13,39943.89,458.44,453.56,449.82,39759.87,39044.96,39333.14,Singapore,Singapore,Singapore → India,25,1126,71,1,17,1,,0,1,1,13,0,normal,,
SHP0000507,COMP00107,electronics,3406,1405294.36,1451001.37,3456.16,3400.15,3432.96,1392267.3,1419328.65,1387044.32,Dubai,Dubai,Dubai → India,35,997,64,0,9,3,,0,1,1,27,0,normal,,
SHP0000429,COMP00127,chemicals,2643,398731.79,406424.13,2694.52,2628.47,2660.16,400481.14,402042.05,393251.02,Mumbai,Mumbai,Mumbai → Singapore,20,2802,62,1,16,1,,0,1,1,7,0,normal,,
SHP0000705,COMP00137,electronics,3200,181597.84,169289.14,3358.72,3097.6,3200.82,187925.03,172888.44,183495.34,Shanghai,Shanghai,Shanghai → India,33,147,20,0,3,9,,0,2,1,42,1,behavioral_anomaly,,
SHP0000439,COMP00078,machinery,3685,420629.07,421694.03,3621.04,3719.83,3664.37,420256.68,419411.63,423699.86,Shanghai,Shanghai,Shanghai → India,20,255,53,1,15,2,,0,1,1,16,0,normal,,
SHP0000358,COMP00104,gold,89,4619752.14,4580551.54,88.72,89.51,87.92,4678931.78,4633495.64,4604778.56,Chennai,Chennai,Chennai → Dubai,25,636,52,1,13,2,,0,1,1,27,0,normal,,
SHP0000427,COMP00060,gold,3,146663.74,143778.61,3.03,2.99,2.97,146266.17,145465.46,148110.45,Shanghai,Shanghai,Shanghai → India,20,237,65,1,9,2,,0,1,1,21,0,normal,,
SHP0000440,COMP00067,electronics,1707,348865.19,354689.01,1679.86,1690.34,1682.4,351875.7,352164.02,355606.17,Antwerp,Antwerp,Antwerp → India,18,2361,64,1,13,2,,0,1,1,26,0,normal,,
SHP0000600,COMP00027,chemicals,6804,766406.06,736186.72,6856.82,6806.61,6749.04,764031.41,763314.96,759141.32,Dubai,Dubai,Dubai → India,35,565,56,1,11,2,,0,1,1,24,0,normal,,
SHP0000758,COMP00104,chemicals,8096,544561.47,517856.53,8316.42,8043.1,7959.01,527062.68,559010.45,560153.45,Istanbul,Istanbul,Istanbul → India,49,636,52,1,4,9,,0,1,1,48,1,behavioral_anomaly,,
SHP0000949,COMP00051,chemicals,5516,1041396.21,886646.39,3430.59,7499.57,6692.6,841198.08,1582491.06,993033.62,Bangkok,UAE,Bangkok → India,54,283,68,1,5,44,COMP00108,1,4,0,92,1,behavioral_anomaly,,
SHP0000770,COMP00024,textiles,18033,385436.63,337655.98,17287.99,18396.75,17226.28,368450.78,377933.18,400721.95,Istanbul,Istanbul,Istanbul → India,47,438,48,0,8,6,,0,3,1,64,1,overvaluation,,
SHP0000723,COMP00032,chemicals,4991,543749.32,813298.46,4762.35,4992.53,5033.04,566597.5,519234.85,547745.85,Shanghai,Shanghai,Shanghai → India,26,153,39,0,10,4,,0,3,0,59,1,undervaluation,,
SHP0000355,COMP00048,machinery,12016,3352365.72,3232349.1,11921.91,11929.3,12069.84,3326391.72,3340706.72,3294827.85,Antwerp,Antwerp,Antwerp → India,18,1336,92,0,12,2,,0,1,1,8,0,normal,,
SHP0000203,COMP00062,gold,20,1070860.96,1084249.85,19.85,20.13,20.0,1052480.34,1066853.01,1089506.67,Chennai,Chennai,Chennai → Dubai,25,1871,60,1,16,3,,0,1,1,23,0,normal,,
SHP0000215,COMP00025,gold,75,3892204.82,3842462.59,74.5,75.58,74.65,3891193.0,3875336.38,3936851.45,Bangkok,Bangkok,Bangkok → India,28,404,54,0,13,2,,0,1,1,5,0,normal,,
SHP0000982,COMP00064,chemicals,2755,68120.76,64762.1,2132.29,3342.22,3511.58,41386.11,107851.16,58020.82,Istanbul,Hong Kong,Istanbul → India,65,58,49,0,2,26,COMP00024,1,5,1,99,1,network_fraud,,
SHP0000386,COMP00122,textiles,13965,95902.96,94196.53,13998.37,14064.97,14058.25,95655.13,96772.07,96744.01,Hong Kong,Hong Kong,Hong Kong → India,30,1203,73,1,17,3,,0,1,1,18,0,normal,,
SHP0000002,COMP00150,electronics,3328,974895.29,973565.29,3315.88,3346.1,3263.06,978734.14,976172.57,983325.37,Hong Kong,Hong Kong,Hong Kong → India,30,2376,89,1,14,3,,0,1,1,14,0,normal,,
SHP0000222,COMP00063,machinery,10848,1799094.89,1744017.95,11003.7,10886.39,10994.63,1824912.93,1808031.2,1794720.25,Rotterdam,Rotterdam,Rotterdam → India,15,426,76,0,14,1,,0,1,1,19,0,normal,,
SHP0000964,COMP00141,textiles,17653,193586.3,185461.58,11373.54,21905.73,16312.76,164217.84,309336.43,151065.15,Chennai,Turkey,Chennai → Dubai,63,130,34,0,2,43,COMP00109,1,6,0,72,1,origin_fraud,,
SHP0000895,COMP00059,textiles,2907,86898.25,127406.78,2887.7,2996.22,2847.09,84759.8,87940.74,87207.74,Chennai,Chennai,Chennai → Dubai,39,448,69,0,13,6,,0,2,1,48,1,undervaluation,,
SHP0000752,COMP00010,chemicals,6536,228495.06,333308.69,6648.38,6509.52,6857.43,222254.54,224172.62,239559.72,Singapore,Thailand,Singapore → India,33,214,79,1,10,5,,0,1,1,44,1,origin_fraud,,
SHP0000133,COMP00097,textiles,11740,217147.27,222428.14,11527.81,11834.6,11905.42,218604.8,217552.13,220554.77,Mumbai,Mumbai,Mumbai → Singapore,20,380,52,1,11,3,,0,1,1,20,0,normal,,
SHP0000117,COMP00120,gold,22,1253989.16,1275184.38,21.97,21.96,22.13,1256268.0,1243011.06,1254616.29,Rotterdam,Rotterdam,Rotterdam → India,15,286,56,1,16,2,,0,1,1,7,0,normal,,
SHP0000180,COMP00081,machinery,11962,813616.92,823576.7,12096.61,11980.73,11793.08,823742.34,815829.22,809977.31,Istanbul,Istanbul,Istanbul → India,40,1795,73,1,15,3,,0,1,1,5,0,normal,,
SHP0000428,COMP00114,electronics,1867,288604.26,292518.66,1903.81,1877.37,1846.53,284864.23,290718.19,287959.91,Chennai,Chennai,Chennai → Dubai,25,290,55,0,10,3,,0,1,1,7,0,normal,,
SHP0000474,COMP00116,gold,85,5018842.13,4792924.04,83.81,85.06,85.26,5047981.54,4970357.02,5111262.46,Shanghai,Shanghai,Shanghai → India,20,1396,78,1,9,3,,0,1,1,29,0,normal,,
SHP0000626,COMP00089,electronics,2440,668379.35,503992.42,2533.41,2446.79,2444.3,673584.49,685043.07,699438.3,Bangkok,Bangkok,Bangkok → India,33,155,58,1,13,6,,0,2,1,37,1,overvaluation,,
SHP0000176,COMP00018,textiles,12450,185395.95,178564.45,12627.85,12468.76,12239.04,184525.18,184905.52,183035.78,Rotterdam,Rotterdam,Rotterdam → India,15,726,53,1,13,1,,0,1,1,29,0,normal,,
SHP0000418,COMP00016,textiles,4609,84317.01,80864.73,4639.97,4575.2,4673.87,85386.79,83496.88,85651.67,Shanghai,Shanghai,Shanghai → India,20,3008,87,1,9,1,,0,1,1,19,0,normal,,
SHP0000341,COMP00047,gold,62,3276187.27,3202648.85,61.99,61.53,62.22,3252084.71,3284506.72,3316601.65,Hong Kong,Hong Kong,Hong Kong → India,30,552,76,1,14,2,,0,1,1,23,0,normal,,
SHP0000245,COMP00005,machinery,3461,442511.2,458602.74,3407.02,3490.42,3479.22,434623.72,443787.9,450905.6,Chennai,Chennai,Chennai → Dubai,25,201,66,1,9,2,,0,1,1,23,0,normal,,
SHP0000301,COMP00119,electronics,2177,479256.42,462165.91,2135.06,2175.44,2215.58,475879.0,480800.97,482174.81,Hong Kong,Hong Kong,Hong Kong → India,30,3571,81,0,11,2,,0,1,1,20,0,normal,,
SHP0000806,COMP00006,gold,71,4123651.61,4146384.25,72.67,73.4,74.19,4275959.86,4116769.83,4056011.48,Shanghai,Shanghai,Shanghai → India,31,3464,62,1,5,12,,0,3,1,67,1,behavioral_anomaly,,
SHP0000787,COMP00078,textiles,5387,92151.24,66839.61,5327.56,5517.15,5325.83,90587.38,93029.95,95581.15,Singapore,Singapore,Singapore → India,33,255,53,1,19,6,,0,1,1,53,1,overvaluation,,
SHP0000761,COMP00086,gold,67,4632943.2,3758913.79,66.97,69.32,67.03,4747856.29,4465675.37,4518237.93,Istanbul,Istanbul,Istanbul → India,50,311,70,1,7,5,,0,2,1,38,1,overvaluation,,
SHP0000834,COMP00111,machinery,8470,2195980.54,2360548.19,7343.96,7796.08,9427.45,1932732.05,1982499.63,2598495.87,Hong Kong,Malaysia,Hong Kong → India,39,721,56,1,17,6,,0,2,1,55,1,origin_fraud,,
SHP0000157,COMP00035,chemicals,2654,237738.13,238006.19,2653.19,2658.1,2692.81,242309.73,237298.71,240852.68,Dubai,Dubai,Dubai → India,35,2699,89,1,16,3,,0,1,1,17,0,normal,,
SHP0000681,COMP00118,textiles,14679,789426.47,627000.22,14574.29,14131.05,14776.32,781405.93,772421.89,763374.59,Hong Kong,Hong Kong,Hong Kong → India,35,41,45,0,8,3,,0,3,1,60,1,overvaluation,,
SHP0000709,COMP00004,chemicals,5860,304407.84,289322.8,6042.09,6122.04,5646.66,304336.29,295707.14,291016.12,Rotterdam,Belgium,Rotterdam → India,29,117,40,0,9,6,,0,2,1,51,1,origin_fraud,,
SHP0000731,COMP00017,textiles,7808,118946.9,111127.91,7938.86,7893.45,7920.09,114046.36,123627.87,117629.76,Chennai,Chennai,Chennai → Dubai,31,212,63,1,3,14,,0,3,0,69,1,behavioral_anomaly,,
SHP0000416,COMP00086,chemicals,6554,932941.32,939488.85,6582.89,6611.99,6629.55,915179.66,933578.33,939969.67,Antwerp,Antwerp,Antwerp → India,18,311,70,1,16,1,,0,1,1,11,0,normal,,
